_id,asin,brand,title,rating,totalReviews,Price,original_price
644b208e025de930036751eb,B0009N5L7K,Motorola,Motorola I265 phone,3.0,7,3996.0,0.0
644b208e025de930036751ec,B000SKTZ0S,Motorola,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,2.7,22,7999.2,0.0
644b208e025de930036751ed,B001AO4OUC,Motorola,Motorola i335 Cell Phone Boost Mobile,3.3,21,0.0,0.0
644b208e025de930036751ee,B001DCJAJG,Motorola,Motorola V365 no contract cellular phone AT&T,3.1,12,11999.2,0.0
644b208e025de930036751ef,B001GQ3DJM,Nokia,Nokia 1680 Black Phone (T-Mobile),2.7,3,0.0,0.0
644b208e025de930036751f0,B0029F2O3A,Samsung,"Samsung Alias2 U750 Phone, Black (Verizon Wireless)",3.0,29,0.0,0.0
644b208e025de930036751f1,B002AS9WEA,Samsung,Samsung a167 Prepaid GoPhone (AT&T),2.9,18,0.0,0.0
644b208e025de930036751f2,B002UHS0UI,Motorola,Verizon Wireless Motorola RAZR V3m - Silver,2.7,208,0.0,0.0
644b208e025de930036751f3,B002WTC1NG,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),3.6,352,11199.2,0.0
644b208e025de930036751f4,B0033SFV5A,Samsung,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,3.3,57,5199.2,0.0
644b208e025de930036751f5,B003FCO9XE,Samsung,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,2.6,78,7999.2,0.0
644b208e025de930036751f6,B003P2VNAQ,Samsung,"Samsung Rugby II, Black (AT&T)",3.6,70,14320.0,0.0
644b208e025de930036751f7,B003W646YK,Motorola,Motorola i570 Nextel iDen PTT rugged black cell phone,2.9,3,6320.0,0.0
644b208e025de930036751f8,B003XREZ4O,Samsung,"Samsung Gusto, Black (Verizon Wireless)",3.4,16,7999.2,0.0
644b208e025de930036751f9,B0046REOWS,Samsung,Samsung T201G Prepaid Phone (Net10),3.6,22,5195.2,0.0
644b208e025de930036751fa,B004C7NVD0,Samsung,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,3.2,107,15999.2,0.0
644b208e025de930036751fb,B004GLQTG8,Samsung,Samsung R355C Net 10 Unlimited,3.5,146,6399.2,0.0
644b208e025de930036751fc,B004H23JXW,Samsung,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",3.4,349,0.0,0.0
644b208e025de930036751fd,B004MK9VLS,Nokia,Nokia C3 Prepaid GoPhone (AT&T) with $30 Airtime Credit,3.0,7,0.0,0.0
644b208e025de930036751fe,B004YBP8EY,Samsung,Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White,3.1,23,0.0,0.0
644b208e025de930036751ff,B005B3OXWC,Samsung,Samsung Freeform III Prepaid Phone (MetroPCS),3.1,32,0.0,0.0
644b208e025de93003675200,B006OU39QW,Samsung,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,4.1,252,0.0,0.0
644b208e025de93003675201,B006VH79R8,Samsung,Samsung Replenish Prepaid Android Phone (Boost Mobile),3.7,84,1199.2,0.0
644b208e025de93003675202,B00727AODC,Samsung,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",3.1,123,0.0,0.0
644b208e025de93003675203,B007LU0HU0,Samsung,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,2.5,10,19999.2,0.0
644b208e025de93003675204,B007X6FFLS,Samsung,Samsung a157 GoPhone (AT&T),3.4,305,7815.2,0.0
644b208e025de93003675205,B0081TDISI,Motorola,Motorola Brute i686 Rugged PTT For Sprint,2.8,10,0.0,0.0
